Category,Datasource,Frequency,WA,ID,Description
PerformanceCollection,'\\Microsoft FTP Service(_Total)\\Bytes Total/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.FTPServer.FTPServiceBytesTotalSec.Collection,FTP Service\Bytes Total/sec Performance Rule
PerformanceCollection,'\\Microsoft FTP Service(_Total)\\Current Connections',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.FTPServer.FTPServiceCurrentConnections.Collection,FTP Service\Current Connections Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Bytes Received/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerBytesReceivedSec.Collection,SMTP Server\Bytes Received/sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Bytes Sent/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerBytesSentSec.Collection,SMTP Server\Bytes Sent/sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Bytes Total/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerBytesTotalSec.Collection,SMTP Server\Bytes Total/sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Inbound Connections Current',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerInboundConnectionsCurrent.Collection,SMTP Server\Inbound Connections Current Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Message Bytes Received/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerMessageBytesReceivedSec.Collection,SMTP Server\Message Bytes Received/Sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Message Bytes Sent/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerMessageBytesSentSec.Collection,SMTP Server\Message Bytes Sent/Sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Messages Delivered/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerMessagesDeliveredSec.Collection,SMTP Server\Messages Delivered/Sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Messages Received/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerMessagesReceivedSec.Collection,SMTP Server\Messages Received/Sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Messages Sent/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerMessagesSentSec.Collection,SMTP Server\Messages Sent/Sec Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Outbound Connections Current',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerOutboundConnectionsCurrent.Collection,SMTP Server\Outbound Connections Current Performance Rule
PerformanceCollection,'\\SMTP Server(_Total)\\Total Messages Submitted',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPServer.SMTPServerTotalmessagessubmitted.Collection,SMTP Server\Total Messages Submitted Performance Rule
PerformanceCollection,'\\SMTP Server($Target/Property[Type="IISCommon!Microsoft.Windows.InternetInformationServices.SMTPVirtualServer"]/PerfCounterInstance$)\\Bytes Received/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPVirtualServer.SMTPVirtualServerBytesReceivedSec.Collection,SMTP Server\Bytes Received/sec Performance Rule
PerformanceCollection,'\\SMTP Server($Target/Property[Type="IISCommon!Microsoft.Windows.InternetInformationServices.SMTPVirtualServer"]/PerfCounterInstance$)\\Bytes Sent/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPVirtualServer.SMTPVirtualServerBytesSentSec.Collection,SMTP Server\Bytes Sent/sec Performance Rule
PerformanceCollection,'\\SMTP Server($Target/Property[Type="IISCommon!Microsoft.Windows.InternetInformationServices.SMTPVirtualServer"]/PerfCounterInstance$)\\Bytes Total/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPVirtualServer.SMTPVirtualServerBytesTotalSec.Collection,SMTP Server\Bytes Total/sec Performance Rule
PerformanceCollection,'\\SMTP Server($Target/Property[Type="IISCommon!Microsoft.Windows.InternetInformationServices.SMTPVirtualServer"]/PerfCounterInstance$)\\Inbound Connections Current',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPVirtualServer.SMTPVirtualServerInboundConnectionsCurrent.Collection,SMTP Server\Inbound Connections Current Performance Rule
PerformanceCollection,'\\SMTP Server($Target/Property[Type="IISCommon!Microsoft.Windows.InternetInformationServices.SMTPVirtualServer"]/PerfCounterInstance$)\\Message Bytes Received/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPVirtualServer.SMTPVirtualServerMessageBytesReceivedSec.Collection,SMTP Server\Message Bytes Received/Sec Performance Rule
PerformanceCollection,'\\SMTP Server($Target/Property[Type="IISCommon!Microsoft.Windows.InternetInformationServices.SMTPVirtualServer"]/PerfCounterInstance$)\\Message Bytes Sent/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPVirtualServer.SMTPVirtualServerMessageBytesSentSec.Collection,SMTP Server\Message Bytes Sent/Sec Performance Rule
PerformanceCollection,'\\SMTP Server($Target/Property[Type="IISCommon!Microsoft.Windows.InternetInformationServices.SMTPVirtualServer"]/PerfCounterInstance$)\\Messages Delivered/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPVirtualServer.SMTPVirtualServerMessagesDeliveredSec.Collection,SMTP Server\Messages Delivered/Sec Performance Rule
PerformanceCollection,'\\SMTP Server($Target/Property[Type="IISCommon!Microsoft.Windows.InternetInformationServices.SMTPVirtualServer"]/PerfCounterInstance$)\\Messages Received/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPVirtualServer.SMTPVirtualServerMessagesReceivedSec.Collection,SMTP Server\Messages Received/Sec Performance Rule
PerformanceCollection,'\\SMTP Server($Target/Property[Type="IISCommon!Microsoft.Windows.InternetInformationServices.SMTPVirtualServer"]/PerfCounterInstance$)\\Messages Sent/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPVirtualServer.SMTPVirtualServerMessagesSentSec.Collection,SMTP Server\Messages Sent/Sec Performance Rule
PerformanceCollection,'\\SMTP Server($Target/Property[Type="IISCommon!Microsoft.Windows.InternetInformationServices.SMTPVirtualServer"]/PerfCounterInstance$)\\Outbound Connections Current',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPVirtualServer.SMTPVirtualServerOutboundConnectionsCurrent.Collection,SMTP Server\Outbound Connections Current Performance Rule
PerformanceCollection,'\\SMTP Server($Target/Property[Type="IISCommon!Microsoft.Windows.InternetInformationServices.SMTPVirtualServer"]/PerfCounterInstance$)\\Total Messages Submitted',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.LegacySMTPVirtualServer.SMTPVirtualServerTotalmessagessubmitted.Collection,SMTP Server\Total Messages Submitted Performance Rule
PerformanceCollection,'\\Web Service(_Total)\\Bytes Received/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.WebServer.WebServiceBytesReceivedSec.Collection,Web Service\Bytes Received/sec Performance Rule
PerformanceCollection,'\\Web Service(_Total)\\Bytes Sent/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.WebServer.WebServiceBytesSentSec.Collection,Web Service\Bytes Sent/sec Performance Rule
PerformanceCollection,'\\Web Service(_Total)\\Bytes Total/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.WebServer.WebServiceBytesTotalSec.Collection,Web Service\Bytes Total/sec Performance Rule
PerformanceCollection,'\\Web Service(_Total)\\Connection Attempts/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.WebServer.WebServiceConnectionAttemptsPerSecond,Web Service\Connection Attempts/sec Performance Rule
PerformanceCollection,'\\Web Service(_Total)\\Current Connections',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.WebServer.WebServiceCurrentConnections.Collection,Web Service\Current Connections Performance Rule
PerformanceCollection,'\\Web Service(_Total)\\Total Method Requests/sec',300,WA:SC!Microsoft.SystemCenter.CollectPerformanceData,Microsoft.Windows.InternetInformationServices.6.2.WebServer.WebServiceTotalMethodRequestsPerSeconds,Web Service\Total Method Requests/sec Performance Rule
